"pass" "score_exam" "semester" "gender" "highest_education" "soc_eco_status" "age" "num_of_prev_attempts" "studied_credits" "disability" "wscore_tutor" "wscore_comp" "exercises"
1 78 "Sem1" "M" "HE Qualification" 9 32 0 60 "N" 64.75 19.75 1579
1 56 "Sem1" "M" "HE Qualification" 9 26 0 60 "N" 51.2 19.2 1169
1 36 "Sem1" "M" "A Level or Equivalent" 6 29 0 75 "N" 43.325 13.57 1917
1 64 "Sem1" "M" "A Level or Equivalent" 11 36 0 60 "N" 36.375 18.78 1334
1 58 "Sem1" "M" "HE Qualification" 11 41 0 60 "N" 61.975 19.35 2262
1 82 "Sem1" "M" "A Level or Equivalent" 10 31 0 60 "N" 66.75 23.03 1326
1 67 "Sem1" "M" "A Level or Equivalent" 6 35 0 60 "N" 61.125 20.64 3335
1 69 "Sem1" "M" "A Level or Equivalent" 8 34 0 60 "N" 63.1 22.64 2060
1 60 "Sem1" "M" "A Level or Equivalent" 6 38 0 60 "N" 56.725 19.33 1150
1 73 "Sem1" "M" "A Level or Equivalent" 10 33 0 60 "N" 63.7 23.13 1123
1 87 "Sem1" "M" "A Level or Equivalent" 8 30 1 90 "N" 68.9 23.66 1764
1 78 "Sem1" "M" "Post Graduate Qualification" 10 32 0 60 "N" 51.625 22.68 1628
1 53 "Sem1" "M" "A Level or Equivalent" 6 23 0 90 "N" 50.625 18.28 435
1 73 "Sem1" "F" "HE Qualification" 7 33 0 60 "N" 65.325 23.77 2890
0 49 "Sem1" "M" "A Level or Equivalent" 6 26 2 60 "N" 37.575 13.16 650
1 49 "Sem1" "F" "HE Qualification" 9 28 0 60 "N" 40.1 19.8 863
1 71 "Sem1" "F" "A Level or Equivalent" 10 34 0 70 "Y" 69.325 23.45 4326
1 53 "Sem1" "M" "Lower Than A Level" 4 26 0 60 "N" 42.725 13.09 1332
0 22 "Sem1" "F" "A Level or Equivalent" 2 28 0 60 "N" 39.8 10.81 5563
1 49 "Sem1" "F" "A Level or Equivalent" 10 21 2 70 "N" 36.95 11.47 2466
1 69 "Sem1" "F" "HE Qualification" 3 34 0 60 "N" 66.375 24 3922
1 58 "Sem1" "F" "A Level or Equivalent" 11 41 0 70 "N" 56.625 19.17 1206
1 58 "Sem1" "M" "Lower Than A Level" 4 41 0 60 "N" 32.825 13.35 485
1 42 "Sem1" "F" "Lower Than A Level" 6 23 0 60 "N" 59.7 17.23 998
0 40 "Sem1" "M" "A Level or Equivalent" 10 28 0 60 "N" 55.9 15.39 3146
1 82 "Sem1" "M" "A Level or Equivalent" 5 31 0 60 "N" 67.15 23.8 1478
1 42 "Sem1" "F" "HE Qualification" 2 24 1 150 "N" 33.75 14.57 1192
0 44 "Sem1" "M" "HE Qualification" 1 26 0 60 "N" 37.35 15.9 1178
0 56 "Sem1" "M" "A Level or Equivalent" 4 28 0 60 "Y" 26.95 20.44 2275
1 78 "Sem1" "M" "A Level or Equivalent" 1 32 0 60 "N" 61.875 23.12 810
1 78 "Sem1" "M" "HE Qualification" 4 32 1 90 "N" 58.025 17.24 1270
1 71 "Sem1" "M" "Lower Than A Level" 5 34 0 60 "N" 63.45 21.29 2223
1 64 "Sem1" "F" "HE Qualification" 9 36 0 90 "N" 48.975 20.29 922
1 82 "Sem1" "M" "A Level or Equivalent" 8 31 0 60 "N" 66.825 23.15 4553
1 64 "Sem1" "M" "Lower Than A Level" 2 36 1 180 "N" 51.9 14.56 2018
1 40 "Sem1" "F" "HE Qualification" 11 25 0 60 "N" 47.325 17.11 617
1 76 "Sem1" "F" "A Level or Equivalent" 6 32 0 60 "N" 51.425 17.24 2082
1 42 "Sem1" "M" "A Level or Equivalent" 7 28 0 60 "N" 38.15 10.17 956
1 38 "Sem1" "F" "A Level or Equivalent" 10 26 0 70 "N" 43.05 17.14 1201
1 49 "Sem1" "F" "Lower Than A Level" 5 28 0 120 "N" 34.2 12.68 1049
1 56 "Sem1" "F" "HE Qualification" 6 27 1 60 "N" 67.25 20.35 1746
1 51 "Sem1" "F" "HE Qualification" 3 22 0 60 "N" 67.55 22.13 2737
1 56 "Sem1" "M" "A Level or Equivalent" 8 27 0 60 "N" 47.35 17.02 1766
1 67 "Sem1" "M" "A Level or Equivalent" 3 35 1 150 "Y" 50.15 15.86 2785
1 51 "Sem1" "M" "Lower Than A Level" 6 26 0 60 "Y" 53.1 21.79 3289
0 40 "Sem1" "F" "A Level or Equivalent" 5 22 0 60 "N" 44.5 15.7 1978
0 29 "Sem1" "M" "A Level or Equivalent" 9 27 0 60 "N" 46.075 17.99 522
0 47 "Sem1" "M" "Lower Than A Level" 2 26 0 60 "N" 49.775 22.34 4471
0 33 "Sem1" "F" "Lower Than A Level" 3 23 0 60 "N" 0 14.92 1338
1 58 "Sem1" "M" "A Level or Equivalent" 6 41 4 120 "N" 51.925 17.48 3941
1 56 "Sem1" "M" "Lower Than A Level" 6 27 0 60 "N" 36.9 14.3 625
1 69 "Sem1" "M" "A Level or Equivalent" 2 34 0 70 "N" 52.55 18.17 2103
1 56 "Sem1" "M" "Lower Than A Level" 7 28 0 60 "N" 64.3 18.39 2927
1 64 "Sem1" "M" "HE Qualification" 7 36 0 60 "N" 27.35 17.15 1192
1 58 "Sem1" "M" "A Level or Equivalent" 9 41 0 90 "N" 42.825 10.46 802
1 53 "Sem1" "F" "HE Qualification" 8 24 1 90 "N" 51.075 21.46 579
1 91 "Sem1" "M" "Post Graduate Qualification" 11 30 0 60 "N" 69.325 23.82 1052
1 60 "Sem1" "M" "Lower Than A Level" 6 38 0 60 "N" 65.625 16.42 1034
1 40 "Sem1" "M" "Lower Than A Level" 6 25 0 90 "N" 29.075 8.47 1692
1 60 "Sem1" "M" "HE Qualification" 6 38 0 120 "N" 71.35 23.14 1048
1 78 "Sem1" "M" "A Level or Equivalent" 2 32 0 70 "N" 70.4 22.96 9429
